Code,Long Name,Currency Unit,Table Name,Household consumption price survey: Geographical coverage
SYR,Syrian Arab Republic,SYP: Syrian Pound,Syrian Arab Republic,
TWN,"Taiwan, China",TWD: New Taiwan Dollar,"Taiwan, China",Urban only
TJK,Republic of Tajikistan,TJS: Somoni,Tajikistan,Capital city only
TZA,United Republic of Tanzania,TZS: Tanzanian Shilling,Tanzania,Urban and Rural
THA,Kingdom of Thailand,THB: Baht,Thailand,Urban and Rural
TLS,Democratic Republic of Timor-Leste,USD: US Dollar,Timor-Leste,
TGO,Republic of Togo,XOF: CFA Franc BCEAO,Togo,Capital city only
TKL,Tokelau,NZD: New Zealand Dollar,Tokelau,
TON,Kingdom of Tonga,TOP: Pa’anga,Tonga,
TTO,Republic of Trinidad and Tobago,TTD: Trinidad and Tobago Dollar,Trinidad and Tobago,Urban only
TUN,Republic of Tunisia,TND: Tunisian Dinar,Tunisia,Urban and Rural
TUR,Republic of Turkey,TRY: Turkish Lira,Turkey,Capital-city only
TKM,Turkmenistan,TMT: Turkmenistan New Manat,Turkmenistan,
TCA,Turks and Caicos Islands,USD: US Dollar,Turks and Caicos Islands,...
TUV,Tuvalu,AUD: Australian Dollar,Tuvalu,
UGA,Republic of Uganda,UGX: Uganda Shilling,Uganda,Urban and Rural
UKR,Ukraine,UAH: Hryvnia,Ukraine,Capital-city only
ARE,United Arab Emirates,AED: UAE Dirham,United Arab Emirates,Urban only
GBR,United Kingdom of Great Britain and Northern Ireland,GBP: Pound Sterling,United Kingdom,Capital-city only
USA,United States of America,USD: US Dollar,United States,Urban only
URY,Oriental Republic of Uruguay,UYU: Peso Uruguayo,Uruguay,Capital city only
UZB,Republic of Uzbekistan,UZS: Uzbekistan Sum,Uzbekistan,
VUT,Republic of Vanuatu,VUV: Vatu,Vanuatu,
VEN,República Bolivariana de Venezuela,VEF: Bolivar Fuerte (2011),"Venezuela, RB",
VNM,Socialist Republic of Vietnam,VND: Dong,Vietnam,Urban and Rural
VGB,British Virgin Islands,USD: US Dollar,British Virgin Islands,Capital city only
WLF,Wallis and Futuna,XPF: CFP Franc,Wallis and Futuna,
PSE,West Bank and Gaza,ILS: New Israeli Sheqel,West Bank and Gaza,Urban only
YEM,Republic of Yemen,YER: Yemeni Rial (2011-2013),"Yemen, Rep.",
ZMB,Republic of Zambia,ZMW: Zambian Kwacha,Zambia,Urban only
ZWE,Republic of Zimbabwe,USD: US Dollar,Zimbabwe,Urban and Rural
